CID,Bin,Creation_Date,Temporal_Period,Scraped_At
3579340,CID_1000000_5000000,,2012-2015,2025-08-30T10:27:09.656332
2118960,CID_1000000_5000000,,2012-2015,2025-08-30T10:27:12.525197
2705409,CID_1000000_5000000,,2012-2015,2025-08-30T10:27:15.389441
1788517,CID_1000000_5000000,,2012-2015,2025-08-30T10:27:18.146658
1415467,CID_1000000_5000000,,2012-2015,2025-08-30T10:27:20.844750
2549671,CID_1000000_5000000,,2012-2015,2025-08-30T10:27:23.867703
8658648,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:27:28.625700
5317798,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:27:33.210527
8336711,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:27:35.225930
7107369,CID_5000000_10000000,,2015-2017,2025-08-30T10:27:38.241136
5169024,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:27:40.614729
8019802,CID_5000000_10000000,,2015-2017,2025-08-30T10:27:43.380350
7630687,CID_5000000_10000000,,2015-2017,2025-08-30T10:27:46.325540
9566569,CID_5000000_10000000,,2015-2017,2025-08-30T10:27:49.184394
8100338,CID_5000000_10000000,,2015-2017,2025-08-30T10:27:51.937385
8254915,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:27:53.479757
7332966,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:27:58.281307
9019949,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:01.412363
7684029,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:04.275131
9198548,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:28:06.942627
7258597,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:09.916111
7311663,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:28:11.836139
5772204,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:14.772766
8654029,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:17.761515
6551361,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:20.799026
8282884,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:28:22.764302
6703986,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:28:26.033581
7052968,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:29.054244
6438506,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:28:33.198530
7939308,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:35.997971
7545578,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:39.118483
9932463,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:28:43.170663
8473443,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:28:44.808631
5003672,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:28:47.153815
8392034,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:50.023347
9813112,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:28:52.888957
8717781,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:55.719168
8736199,CID_5000000_10000000,,2015-2017,2025-08-30T10:28:58.522048
8845175,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:01.337146
6140636,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:04.298667
7870701,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:29:06.291908
7765939,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:09.233062
9077625,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:12.458476
7356169,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:29:14.603424
8828936,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:17.664152
5383575,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:20.488322
5563812,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:23.301437
8293394,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:29:24.988593
7724310,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:27.869727
5928310,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:30.941806
5355026,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:29:35.799417
7370045,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:38.777855
8415168,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:41.726523
7707190,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:44.676170
6482338,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:29:47.337173
6864407,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:50.245542
9986597,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:29:52.479055
5003926,CID_5000000_10000000,,2015-2017,2025-08-30T10:29:55.410687
7188560,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:29:57.411263
8197058,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:00.208343
7605604,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:03.169974
8508991,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:06.020643
7025089,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:08.961068
6063541,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:30:11.182916
7324538,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:14.411098
9610081,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:17.273338
7029330,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:30:19.304173
9927265,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:30:22.675046
6478397,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:25.529145
6677416,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:30:26.969989
8000245,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:30.862139
5673984,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:33.761463
8590369,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:30:35.336967
5173155,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:38.227738
7630470,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:30:39.892161
8787003,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:30:41.527254
7957411,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:30:43.078665
7231203,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:45.963656
7771966,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:48.870863
7405929,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:51.661694
8081279,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:30:53.283877
7875416,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:56.164741
7091121,CID_5000000_10000000,,2015-2017,2025-08-30T10:30:58.872252
5230627,CID_5000000_10000000,,2015-2017,2025-08-30T10:31:01.713052
8001496,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:31:03.492248
8522780,CID_5000000_10000000,,2015-2017,2025-08-30T10:31:06.303230
6469736,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:31:14.187876
9873932,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:31:19.175325
6471157,CID_5000000_10000000,,2015-2017,2025-08-30T10:31:22.277727
9289954,CID_5000000_10000000,,2015-2017,2025-08-30T10:31:25.281070
7084066,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:31:28.371055
8175229,CID_5000000_10000000,,2015-2017,2025-08-30T10:31:31.156252
7760123,CID_5000000_10000000,,2015-2017,2025-08-30T10:31:34.192007
7270261,CID_5000000_10000000,,2015-2017,2025-08-30T10:31:37.025922
9912188,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:31:39.635977
8606369,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:31:41.494123
8368807,CID_5000000_10000000,,2015-2017,2025-08-30T10:31:44.719310
5971634,CID_5000000_10000000,,2015-2017,2025-08-30T10:31:47.649113
5084863,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:31:53.164880
7678622,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:31:55.854847
6728948,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:31:59.007092
9284097,CID_5000000_10000000,,2015-2017,2025-08-30T10:32:02.157031
6214445,CID_5000000_10000000,,2015-2017,2025-08-30T10:32:05.088057
8744776,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:32:07.600886
8971364,CID_5000000_10000000,,2015-2017,2025-08-30T10:32:10.637054
5238511,CID_5000000_10000000,2025-08-26,2015-2017,2025-08-30T10:32:13.162492
33617344,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:32:18.113644
11977209,CID_10000000_50000000,,2017-2020,2025-08-30T10:32:21.141449
37900753,CID_10000000_50000000,,2017-2020,2025-08-30T10:32:23.980898
49715733,CID_10000000_50000000,,2017-2020,2025-08-30T10:32:26.932637
20332938,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:32:32.649945
10896091,CID_10000000_50000000,,2017-2020,2025-08-30T10:32:36.508673
19375541,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:32:41.510729
43422458,CID_10000000_50000000,,2017-2020,2025-08-30T10:32:44.704287
41378217,CID_10000000_50000000,,2017-2020,2025-08-30T10:32:47.722921
42906203,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:32:50.997769
24674459,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:32:53.498836
25142337,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:32:58.558044
20793497,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:33:01.427624
39196094,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:33:04.703301
28702934,CID_10000000_50000000,,2017-2020,2025-08-30T10:33:07.744220
15101122,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:33:11.545134
17251036,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:33:13.863333
45210535,CID_10000000_50000000,,2017-2020,2025-08-30T10:33:16.733466
13472025,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:33:21.371411
33744131,CID_10000000_50000000,,2017-2020,2025-08-30T10:33:24.371662
24044321,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:33:26.623954
19535548,CID_10000000_50000000,,2017-2020,2025-08-30T10:33:29.581684
19096983,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:33:32.682675
17023193,CID_10000000_50000000,,2017-2020,2025-08-30T10:33:35.492716
22982279,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:33:39.487507
10493421,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:33:42.971406
18470351,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:33:47.031475
33620703,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:33:49.137018
10609147,CID_10000000_50000000,,2017-2020,2025-08-30T10:33:51.990993
17545216,CID_10000000_50000000,,2017-2020,2025-08-30T10:33:54.943207
27432989,CID_10000000_50000000,,2017-2020,2025-08-30T10:33:58.224185
19325254,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:34:00.724195
11725636,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:34:04.894899
17070593,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:09.689770
14955420,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:34:12.366269
23986629,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:34:14.581069
23262645,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:17.460757
16791605,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:20.711256
24566544,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:23.536796
24282444,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:34:25.286929
15916620,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:34:27.432089
32620373,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:30.381506
18845070,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:33.362168
22532048,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:36.230542
43839584,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:39.022739
25433988,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:42.214137
22689886,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:45.368906
11871732,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:34:48.227198
45117356,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:50.969809
22704793,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:34:54.564760
42384298,CID_10000000_50000000,,2017-2020,2025-08-30T10:34:57.534845
49253375,CID_10000000_50000000,,2017-2020,2025-08-30T10:35:00.534636
11902679,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:35:04.259029
41137287,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:35:07.180645
44233660,CID_10000000_50000000,,2017-2020,2025-08-30T10:35:10.046137
15211244,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:35:12.180245
11450499,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:35:16.183389
38100396,CID_10000000_50000000,,2017-2020,2025-08-30T10:35:19.044289
47260763,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:35:22.783378
46396346,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:35:26.844530
17001081,CID_10000000_50000000,,2017-2020,2025-08-30T10:35:29.873053
36240174,CID_10000000_50000000,,2017-2020,2025-08-30T10:35:32.837542
10549738,CID_10000000_50000000,,2017-2020,2025-08-30T10:35:35.613210
18964273,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:35:37.933892
21560070,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:35:40.964684
26182012,CID_10000000_50000000,,2017-2020,2025-08-30T10:35:43.825914
24679575,CID_10000000_50000000,,2017-2020,2025-08-30T10:35:46.727900
11430360,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:35:49.808265
44287184,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:35:53.054586
24176123,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:35:54.899849
31787598,CID_10000000_50000000,,2017-2020,2025-08-30T10:35:57.846642
44900561,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:36:00.464407
11420503,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:36:02.450077
46858157,CID_10000000_50000000,,2017-2020,2025-08-30T10:36:05.276369
32977680,CID_10000000_50000000,,2017-2020,2025-08-30T10:36:08.499295
30689340,CID_10000000_50000000,,2017-2020,2025-08-30T10:36:11.631090
18182977,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:36:13.911348
19532614,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:36:15.991275
28732357,CID_10000000_50000000,,2017-2020,2025-08-30T10:36:36.714622
28716421,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:36:39.098690
23991871,CID_10000000_50000000,,2017-2020,2025-08-30T10:36:41.958876
18306443,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:36:44.143322
13855990,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:36:47.206765
22967885,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:36:49.133513
47063477,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:36:50.864402
18215773,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:36:54.138664
11820102,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:36:57.238273
44488251,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:37:01.348397
42972501,CID_10000000_50000000,,2017-2020,2025-08-30T10:37:04.053670
10654706,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:37:07.577721
26225510,CID_10000000_50000000,,2017-2020,2025-08-30T10:37:10.505627
24010818,CID_10000000_50000000,,2017-2020,2025-08-30T10:37:19.367118
23861452,CID_10000000_50000000,,2017-2020,2025-08-30T10:37:22.999661
17022299,CID_10000000_50000000,,2017-2020,2025-08-30T10:37:26.005463
43140521,CID_10000000_50000000,,2017-2020,2025-08-30T10:37:28.826439
20946917,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:37:31.672165
17070098,CID_10000000_50000000,,2017-2020,2025-08-30T10:37:34.598953
36844757,CID_10000000_50000000,,2017-2020,2025-08-30T10:37:37.561042
22336189,CID_10000000_50000000,2025-08-26,2017-2020,2025-08-30T10:37:41.445692
16513947,CID_10000000_50000000,,2017-2020,2025-08-30T10:37:44.347190
104592352,CID_50000000_116000000,,2020-2024,2025-08-30T10:37:47.278071
110325083,CID_50000000_116000000,,2020-2024,2025-08-30T10:37:50.392340
58881782,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:37:55.151581
72323507,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:38:00.522976
60907613,CID_50000000_116000000,,2020-2024,2025-08-30T10:38:03.552423
50848364,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:38:06.633930
109649222,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:38:11.027798
101903834,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:38:14.327678
65175268,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:38:17.299507
103735878,CID_50000000_116000000,,2020-2024,2025-08-30T10:38:20.617421
81040795,CID_50000000_116000000,,2020-2024,2025-08-30T10:38:23.600095
70588476,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:38:27.363573
93322072,CID_50000000_116000000,,2020-2024,2025-08-30T10:38:30.148021
112524119,CID_50000000_116000000,,2020-2024,2025-08-30T10:38:33.064909
90066298,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:38:36.646883
115082072,CID_50000000_116000000,,2020-2024,2025-08-30T10:38:39.470352
62698135,CID_50000000_116000000,,2020-2024,2025-08-30T10:38:42.569752
90784738,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:38:47.023055
59199604,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:38:50.930537
104960655,CID_50000000_116000000,,2020-2024,2025-08-30T10:38:53.823484
53691843,CID_50000000_116000000,,2020-2024,2025-08-30T10:38:56.681003
114239126,CID_50000000_116000000,,2020-2024,2025-08-30T10:38:59.653462
110455210,CID_50000000_116000000,,2020-2024,2025-08-30T10:39:02.682865
110802527,CID_50000000_116000000,,2020-2024,2025-08-30T10:39:05.660770
64214344,CID_50000000_116000000,,2020-2024,2025-08-30T10:39:08.706009
106037829,CID_50000000_116000000,,2020-2024,2025-08-30T10:39:11.826235
111881647,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:39:14.611755
72019907,CID_50000000_116000000,,2020-2024,2025-08-30T10:39:17.736047
105310182,CID_50000000_116000000,,2020-2024,2025-08-30T10:39:20.594587
88172371,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:39:23.585403
110833916,CID_50000000_116000000,,2020-2024,2025-08-30T10:39:26.365749
102671247,CID_50000000_116000000,,2020-2024,2025-08-30T10:39:32.094583
114055233,CID_50000000_116000000,,2020-2024,2025-08-30T10:39:35.232512
53957609,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:39:38.716620
84590957,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:39:43.296749
68461355,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:39:46.316831
68830467,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:39:49.100250
56755751,CID_50000000_116000000,,2020-2024,2025-08-30T10:39:51.970382
57361740,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:39:54.337945
62957192,CID_50000000_116000000,,2020-2024,2025-08-30T10:39:57.251588
76222320,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:00.187607
98033877,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:03.157505
89683672,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:40:05.657022
70722984,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:40:08.087367
113638223,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:11.091544
61039279,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:13.992932
56009945,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:16.940646
104599735,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:20.124863
73936097,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:40:22.878957
114280475,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:25.813233
110146347,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:28.990031
73927003,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:40:32.349512
55958677,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:40:34.974779
79889320,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:38.108424
105756283,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:41.166279
90208522,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:40:43.785893
102821749,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:40:47.290642
58319621,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:40:51.660169
84142226,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:54.807120
81439799,CID_50000000_116000000,,2020-2024,2025-08-30T10:40:57.764063
82469592,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:00.753244
107122988,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:41:02.599572
102803680,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:05.439065
64066062,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:08.222411
111760082,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:41:09.694304
86212933,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:12.617239
77441316,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:41:15.414191
111706945,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:18.517041
104525057,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:21.480898
71556171,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:41:24.162607
55615111,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:27.287188
66197147,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:30.295910
113594309,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:33.313710
64584615,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:36.185462
75597831,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:41:38.302491
90449866,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:41:41.045205
110862686,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:41:42.783025
66473061,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:45.575432
63792250,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:48.612046
63627299,CID_50000000_116000000,,2020-2024,2025-08-30T10:41:51.444493
70952317,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:41:53.617480
57515425,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:41:56.530010
69288206,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:41:59.245144
63985788,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:02.260537
108651368,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:05.172058
52185373,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:08.743690
59162736,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:42:12.019841
103536716,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:14.973059
115946148,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:17.907601
107257687,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:21.581569
97096902,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:24.497646
103300948,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:42:26.120588
101631181,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:42:28.985601
70210466,CID_50000000_116000000,2025-08-26,2020-2024,2025-08-30T10:42:31.128662
115392579,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:34.268776
103921527,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:37.277575
113034700,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:40.295419
92987658,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:43.127324
56718765,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:46.218195
64705566,CID_50000000_116000000,,2020-2024,2025-08-30T10:42:50.523542
